county,registered,kemp_election,kemp_absentee,kemp_advance,kemp_provisional,kemp_votes,abrams_election,abrams_absentee,abrams_advance,abrams_provisional,abrams_votes,metz_election,metz_absentee,metz_advance,metz_provisional,metz_votes,total
Appling,10613,2334,357,2735,0,5426,630,170,557,0,1357,14,3,6,0,23,6806
Atkinson,4252,808,45,1022,1,1876,333,43,260,1,637,6,0,3,0,9,2522
Bacon,6010,609,127,2585,0,3321,211,46,231,0,488,7,1,12,0,20,3829
Baker,2232,409,60,284,0,753,254,80,199,2,535,2,1,2,0,5,1293
Baldwin,23399,3054,336,4345,0,7735,3070,808,3907,0,7785,56,9,43,0,108,15628
Banks,10807,3471,178,2500,0,6149,349,40,256,0,645,38,4,15,0,57,6851
Barrow,47514,10278,686,9195,0,20159,3400,560,2934,0,6894,234,15,94,0,343,27396
Bartow,64074,15129,961,12305,0,28395,4160,576,3767,0,8503,295,11,103,0,409,37307
Ben_Hill,9258,931,89,2518,0,3538,671,227,1073,0,1971,6,4,14,0,24,5533
Berrien,10247,2299,224,2788,3,5314,452,93,353,2,900,21,5,12,0,38,6252
Bibb,99934,14025,1189,7746,0,22960,15527,3242,17710,0,36479,264,37,98,0,399,59838
Bleckley,6944,1342,142,2332,0,3816,426,112,459,5,1002,25,3,14,0,42,4860
Brantley,9984,2405,150,2640,0,5195,206,35,218,0,459,22,3,10,0,35,5689
Brooks,9911,1799,100,1602,0,3501,1003,363,806,0,2172,12,2,9,0,23,5696
Bryan,25712,4253,232,6009,13,10507,1695,348,2268,2,4313,98,2,65,0,165,14985
Bulloch,39983,7583,525,6677,0,14785,3588,535,4432,0,8555,126,14,61,0,201,23541
Burke,14449,2310,242,1858,0,4410,2212,724,1331,2,4269,30,2,10,0,42,8721
Butts,15280,1412,203,4743,0,6358,778,174,1499,0,2451,16,3,35,0,54,8863
Calhoun,2982,430,36,344,0,810,676,148,260,0,1084,1,1,3,0,5,1899
Camden,31632,5265,508,5362,0,11135,2372,678,2673,0,5723,138,7,50,0,195,17053
Candler,5572,687,58,1815,0,2560,387,59,514,1,961,9,1,6,0,16,3537
Carroll,72908,14544,809,13782,0,29135,5276,694,6170,0,12140,301,10,148,0,459,41734
Catoosa,40513,7481,366,11008,0,18855,1860,167,2553,0,4580,171,4,112,0,287,23722
Charlton,6072,1243,101,1182,8,2534,402,60,360,0,822,12,0,7,0,19,3375
Chatham,188315,28456,1589,11311,0,41356,35520,4478,20869,0,60867,847,50,158,0,1055,103278
Chattahoochee,3132,337,15,249,2,603,232,20,241,1,494,5,0,3,0,8,1105
Chattooga,11099,3035,141,2755,0,5931,689,84,670,0,1443,26,0,27,0,53,7427
Cherokee,165612,37596,3139,35858,0,76593,13653,2044,12287,0,27984,1173,67,420,0,1660,106237
Clarke,70597,6627,913,4822,0,12362,13301,2094,15009,0,30404,354,30,126,0,510,43276
Clay,1856,156,42,338,0,536,303,96,239,0,638,5,1,2,0,8,1182
Clayton,169574,4381,509,5720,0,10610,33719,3505,41817,0,79041,196,29,134,0,359,90010
Clinch,3884,638,51,1025,2,1716,269,56,206,2,533,2,0,5,0,7,2256
Cobb,486696,84398,9809,44272,0,138479,85317,15716,66610,0,167643,3211,297,672,0,4180,310302
Coffee,21900,2946,180,5794,0,8920,1558,210,1850,0,3618,32,3,20,0,55,12593
Colquitt,21948,4831,255,4739,5,9830,1493,253,1303,5,3054,44,6,29,0,79,12963
Columbia,95779,19711,1303,19905,0,40919,8803,1581,9607,0,19991,455,35,174,0,664,61574
Cook,9423,1625,116,2375,0,4116,855,126,686,0,1667,10,2,8,0,20,5803
Coweta,91585,21166,1500,17799,0,40465,7949,1279,7668,0,16896,488,30,174,0,692,58053
Crawford,7459,1594,126,1873,2,3595,513,105,683,1,1302,23,3,11,0,37,4934
Crisp,11674,1411,190,2824,0,4425,1048,170,1351,0,2569,11,1,16,0,28,7022
Dade,10496,2271,84,2141,0,4496,441,45,398,0,884,48,0,22,0,70,5450
Dawson,18278,3502,319,6122,0,9943,543,117,858,0,1518,66,3,40,0,109,11570
Decatur,15201,2421,181,2839,0,5441,1791,363,1408,0,3562,23,3,13,0,39,9042
DeKalb,494731,26416,2836,19448,0,48700,112048,16309,130688,0,259045,1921,161,678,0,2760,310505
Dodge,11055,2355,262,2596,7,5220,822,184,808,3,1817,15,2,7,0,24,7061
Dooly,5669,760,60,1180,0,2000,941,136,704,0,1781,7,0,5,0,12,3793
Dougherty,57817,6188,343,2773,0,9304,11753,1535,8534,0,21822,80,11,25,0,116,31242
Douglas,89305,8633,978,12122,0,21733,12827,2227,17949,0,33003,285,25,148,0,458,55194
