abrams_votes,County,Precinct,metz_votes,kemp_votes,county
555,Appling,5A,77,2,APPLING
699,Appling,1B,78,3,APPLING
498,Appling,1C,40,1,APPLING
399,Appling,2,761,2,APPLING
727,Appling,3C,203,3,APPLING
519,Appling,3A1,15,2,APPLING
571,Appling,4B,13,1,APPLING
888,Appling,4D,80,4,APPLING
570,Appling,5B,90,5,APPLING
392,Atkinson,Axson,26,0,ATKINSON
833,Atkinson,Pearson County,115,3,ATKINSON
487,Atkinson,Willacoochee,245,4,ATKINSON
163,Atkinson,Pearson City,250,2,ATKINSON
3321,Bacon,Douglas,488,20,BACON
84,Baker,Hoggard Mill,89,0,BAKER
112,Baker,Milford,60,2,BAKER
363,Baker,Newton,247,2,BAKER
119,Baker,Elmodel,118,1,BAKER
75,Baker,Anna,21,0,BAKER
97,Baldwin,Courthouse,156,5,BALDWIN
102,Baldwin,East Hardwick,461,0,BALDWIN
132,Baldwin,City Hall Annex,302,3,BALDWIN
158,Baldwin,Fire Dept,655,7,BALDWIN
626,Baldwin,West Baldwin,538,11,BALDWIN
1720,Baldwin,North Baldwin,606,12,BALDWIN
733,Baldwin,North Mill,660,7,BALDWIN
1375,Baldwin,East Baldwin,1003,24,BALDWIN
1154,Baldwin,Meriweather,658,11,BALDWIN
678,Baldwin,Coopers,263,10,BALDWIN
338,Baldwin,West Hardwick,1257,5,BALDWIN
158,Baldwin,South Mill,499,5,BALDWIN
356,Baldwin,Scottsboro,224,3,BALDWIN
108,Baldwin,Boddie,503,5,BALDWIN
730,Banks,Homer,69,10,BANKS
864,Banks,Poplar Springs,80,6,BANKS
228,Banks,Columbia,16,1,BANKS
829,Banks,Davids,100,12,BANKS
356,Banks,Washington,39,8,BANKS
196,Banks,Berlin,15,0,BANKS
364,Banks,Hollingsworth,39,1,BANKS
304,Banks,Grove River,21,2,BANKS
340,Banks,Wilmonts,19,4,BANKS
723,Banks,Anderson,82,5,BANKS
373,Banks,Bushville,32,2,BANKS
